"","A","S","E","O","R","T"
"3237","adult","F","uni","emp","big","train"
"3238","adult","F","high","emp","big","train"
"3239","adult","F","high","emp","big","car"
"3240","young","F","uni","emp","big","car"
"3241","young","M","high","emp","big","other"
"3242","adult","M","high","emp","big","train"
"3243","adult","M","high","emp","big","car"
"3244","adult","F","high","emp","small","car"
"3245","young","M","uni","emp","big","car"
"3246","adult","M","uni","emp","big","car"
"3247","old","M","high","emp","big","other"
"3248","adult","M","high","emp","small","other"
"3249","old","M","high","emp","big","car"
"3250","young","M","uni","emp","big","car"
"3251","old","M","high","emp","big","car"
"3252","old","F","high","emp","big","car"
"3253","adult","M","high","emp","big","train"
"3254","young","F","high","emp","big","car"
"3255","adult","F","uni","emp","small","other"
"3256","young","F","high","emp","big","car"
"3257","young","M","high","emp","small","other"
"3258","adult","M","high","emp","small","train"
"3259","young","M","high","emp","small","other"
"3260","adult","M","high","emp","big","car"
"3261","adult","F","high","emp","small","car"
"3262","adult","M","high","emp","big","car"
"3263","young","M","high","emp","big","car"
"3264","young","M","high","self","big","train"
"3265","adult","F","high","emp","big","car"
"3266","adult","F","high","self","small","car"
"3267","adult","F","high","emp","small","train"
"3268","young","M","high","emp","big","train"
"3269","adult","F","high","emp","big","car"
"3270","old","F","uni","emp","big","train"
"3271","adult","F","high","self","big","car"
"3272","young","M","high","emp","big","other"
"3273","adult","M","high","emp","big","car"
"3274","adult","F","high","emp","big","car"
"3275","young","F","uni","self","big","train"
"3276","adult","F","high","emp","big","car"
"3277","adult","M","high","emp","big","car"
"3278","young","M","high","emp","small","car"
"3279","old","M","high","emp","big","car"
"3280","young","M","uni","emp","small","car"
"3281","adult","M","high","emp","big","car"
"3282","old","M","high","emp","big","train"
"3283","young","M","high","emp","big","car"
"3284","old","F","high","emp","big","other"
"3285","old","M","high","emp","small","train"
"3286","adult","F","uni","emp","big","other"
"3287","old","F","high","emp","big","car"
"3288","adult","F","high","emp","big","car"
"3289","adult","F","uni","emp","small","other"
"3290","old","M","high","emp","small","car"
"3291","young","F","high","emp","big","car"
"3292","old","F","high","emp","big","car"
"3293","adult","M","uni","emp","big","other"
"3294","adult","M","high","emp","big","train"
"3295","old","M","high","emp","small","train"
"3296","young","M","high","emp","big","car"
"3297","young","F","high","emp","big","car"
"3298","young","M","uni","emp","small","car"
"3299","adult","M","uni","emp","big","car"
"3300","adult","F","high","self","big","car"
"3301","adult","F","uni","emp","big","car"
"3302","young","M","high","emp","small","car"
"3303","old","M","high","emp","big","car"
"3304","young","M","high","emp","small","train"
"3305","old","M","uni","emp","big","train"
"3306","old","F","high","emp","small","car"
"3307","old","M","uni","self","big","train"
"3308","young","M","high","emp","big","car"
"3309","young","M","high","emp","big","train"
"3310","adult","M","high","emp","small","car"
"3311","adult","M","uni","emp","small","car"
"3312","young","F","high","emp","big","car"
"3313","old","M","high","emp","big","car"
"3314","adult","M","uni","emp","small","other"
"3315","adult","F","high","emp","big","car"
"3316","young","F","uni","emp","big","car"
"3317","adult","M","uni","emp","big","train"
"3318","young","M","uni","emp","big","car"
"3319","adult","F","uni","emp","small","other"
"3320","adult","F","high","emp","big","other"
"3321","adult","M","high","emp","big","train"
"3322","adult","M","high","emp","small","car"
"3323","adult","M","high","emp","big","car"
"3324","adult","F","high","emp","big","car"
"3325","adult","F","high","emp","big","train"
"3326","adult","F","high","emp","big","train"
"3327","adult","M","high","emp","big","train"
"3328","adult","F","uni","emp","small","train"
"3329","adult","M","high","self","big","car"
"3330","young","F","high","emp","small","car"
"3331","young","F","high","emp","big","car"
"3332","old","M","high","emp","big","car"
"3333","old","F","high","emp","small","other"
"3334","adult","F","uni","emp","small","car"
"3335","adult","F","high","emp","big","car"
"3336","adult","F","high","emp","big","car"
"3337","young","M","high","emp","small","car"
"3338","young","M","high","emp","big","car"
"3339","adult","F","high","emp","big","car"
"3340","adult","F","high","emp","small","other"
"3341","adult","M","high","emp","big","car"
"3342","adult","M","high","emp","big","car"
"3343","adult","M","high","emp","small","car"
"3344","adult","M","high","emp","small","train"
"3345","young","M","high","emp","big","car"
"3346","old","M","high","emp","big","train"
"3347","young","M","high","emp","big","car"
"3348","adult","M","high","emp","big","car"
"3349","old","F","high","emp","big","other"
"3350","adult","F","high","emp","big","train"
"3351","old","M","high","emp","big","car"
"3352","young","M","high","emp","small","car"
"3353","old","M","high","emp","big","other"
"3354","adult","M","uni","emp","big","car"
"3355","adult","M","uni","emp","big","car"
"3356","adult","F","high","emp","small","train"
"3357","young","F","uni","emp","big","car"
"3358","young","M","high","self","big","car"
"3359","adult","F","uni","emp","big","car"
"3360","adult","F","high","emp","big","car"
"3361","young","M","uni","emp","big","car"
"3362","young","M","high","emp","big","train"
"3363","adult","M","high","emp","small","car"
"3364","adult","F","high","emp","big","other"
"3365","adult","M","high","emp","big","other"
"3366","adult","M","uni","emp","small","car"
"3367","young","M","high","emp","big","car"
"3368","adult","M","uni","emp","small","car"
"3369","adult","M","high","emp","big","car"
"3370","adult","M","high","emp","small","car"
"3371","young","M","uni","emp","big","other"
"3372","adult","M","high","emp","big","car"
"3373","young","M","uni","emp","big","train"
"3374","old","M","uni","emp","big","car"
"3375","old","F","high","emp","big","car"
"3376","adult","M","high","emp","big","car"
"3377","old","M","high","emp","big","car"
"3378","young","M","high","emp","small","train"
"3379","adult","M","high","emp","big","train"
"3380","old","M","high","emp","big","car"
"3381","adult","M","high","emp","small","car"
"3382","adult","M","high","emp","big","train"
"3383","adult","M","uni","self","big","car"
"3384","young","F","uni","emp","big","car"
"3385","old","F","high","emp","big","train"
"3386","adult","F","high","emp","big","car"
"3387","old","M","high","emp","big","other"
"3388","young","M","high","emp","big","other"
"3389","old","F","high","emp","big","train"
"3390","young","F","high","emp","small","car"
"3391","adult","M","high","emp","small","train"
"3392","adult","F","high","emp","big","other"
"3393","adult","F","high","emp","big","car"
"3394","old","F","high","emp","big","car"
"3395","old","M","high","emp","big","other"
"3396","adult","M","high","emp","big","other"
"3397","old","F","high","emp","big","car"
"3398","adult","F","high","emp","big","other"
"3399","young","M","high","emp","big","train"
"3400","adult","M","high","emp","big","car"
"3401","old","F","high","emp","big","train"
"3402","young","M","uni","emp","big","car"
"3403","adult","F","uni","emp","big","other"
"3404","young","M","high","self","small","car"
"3405","young","M","high","emp","big","car"
"3406","adult","M","high","emp","big","car"
"3407","adult","M","high","emp","small","train"
"3408","young","M","high","emp","big","other"
"3409","young","M","high","emp","big","car"
"3410","old","M","high","emp","big","car"
"3411","adult","M","uni","emp","small","car"
"3412","young","M","high","emp","big","car"
"3413","old","F","high","emp","big","other"
"3414","young","M","high","emp","big","car"
"3415","adult","M","high","emp","small","other"
"3416","adult","F","uni","emp","big","car"
"3417","young","M","high","emp","big","other"
"3418","young","F","uni","emp","big","car"
"3419","adult","F","high","emp","big","other"
"3420","old","M","high","emp","big","car"
"3421","young","F","uni","emp","big","car"
"3422","young","M","high","emp","big","car"
"3423","adult","M","high","emp","big","car"
"3424","adult","M","uni","emp","big","car"
"3425","adult","M","high","emp","big","train"
"3426","adult","M","high","emp","big","other"
"3427","young","M","high","emp","big","car"
"3428","young","F","high","emp","big","car"
"3429","old","M","high","emp","small","car"
"3430","old","F","high","emp","big","other"
"3431","old","M","high","emp","big","car"
"3432","young","F","high","emp","big","train"
"3433","adult","F","high","emp","big","car"
"3434","young","F","high","emp","small","car"
"3435","young","F","high","emp","big","other"
"3436","young","M","high","emp","small","train"
"3437","old","M","high","emp","small","car"
"3438","young","F","high","emp","big","car"
"3439","adult","M","high","emp","big","car"
"3440","young","M","high","emp","big","other"
"3441","young","F","high","emp","big","car"
"3442","adult","F","high","self","big","car"
"3443","young","M","uni","emp","big","other"
"3444","old","M","high","emp","small","train"
"3445","young","M","high","emp","small","car"
"3446","old","M","high","emp","big","other"
"3447","adult","F","high","emp","small","train"
"3448","adult","M","high","emp","small","train"
"3449","adult","F","uni","emp","big","other"
"3450","old","M","high","emp","big","car"
"3451","adult","M","uni","emp","small","car"
"3452","old","F","uni","emp","big","car"
"3453","adult","F","high","emp","big","car"
"3454","young","M","uni","emp","small","train"
"3455","old","M","high","emp","big","car"
"3456","adult","M","uni","emp","small","train"
"3457","old","M","uni","emp","small","train"
"3458","old","F","high","emp","big","car"
"3459","young","M","high","emp","small","train"
"3460","adult","M","high","emp","big","car"
"3461","adult","M","high","emp","big","car"
"3462","adult","F","high","emp","big","train"
"3463","adult","F","high","emp","big","car"
"3464","adult","M","high","self","big","car"
"3465","adult","M","high","self","big","car"
"3466","young","M","high","self","big","train"
"3467","old","M","high","emp","big","other"
"3468","young","F","high","emp","big","other"
"3469","young","M","high","emp","big","car"
"3470","old","M","high","emp","small","train"
"3471","adult","F","high","emp","big","train"
"3472","adult","F","high","self","big","car"
"3473","adult","F","uni","emp","big","other"
"3474","adult","M","high","emp","big","car"
"3475","young","M","high","emp","small","car"
"3476","young","F","high","emp","small","car"
"3477","adult","M","high","emp","big","other"
"3478","old","F","high","emp","big","train"
"3479","young","F","high","emp","big","car"
"3480","young","M","high","emp","big","car"
"3481","adult","F","high","emp","big","car"
"3482","old","M","high","emp","big","car"
"3483","young","M","high","emp","small","train"
"3484","adult","F","high","emp","big","car"
"3485","adult","F","uni","emp","big","other"
"3486","adult","M","uni","emp","big","other"
"3487","adult","M","high","emp","small","car"
"3488","adult","F","uni","emp","big","car"
"3489","adult","M","high","emp","big","car"
"3490","adult","M","high","emp","big","car"
"3491","young","F","high","emp","big","car"
"3492","young","M","uni","emp","big","car"
"3493","adult","F","uni","emp","big","car"
"3494","adult","F","high","emp","big","train"
